dataset,vocab_size,embedding,net,hidden_size,num_layers,dropout,bidirectional,attention,type,epoch,time,speed,loss_mean,loss_std,precision,recall,f1-score,accuracy
IMDB,50000,word2vec.google.300d,LSTM,256,2,0.5,1,1,test,8,28.179646730422974,13.875262658203349,0.2503509974045217,0.10009228463364366,0.8972440214610635,0.89692,0.8968989758041076,0.89692
IMDB,50000,word2vec.google.300d,LSTM,256,2,0.5,1,1,train,9,115.74561047554016,3.3780978681919667,0.23319680268502296,0.06827077934441114,0.9089603768978832,0.90896,0.9089599790243793,0.90896
IMDB,50000,word2vec.google.300d,LSTM,256,2,0.5,1,1,test,9,27.970712184906006,13.978907559279007,0.24705094695472352,0.09101690405953893,0.8979219966134103,0.89792,0.8979198719506873,0.89792
IMDB,25000,word2vec.google.300d,RNN,256,2,0.5,1,1,train,0,92.02833771705627,4.248691323776168,0.6644988069144051,0.09380908511713297,0.5856612763422309,0.58564,0.5856142689666629,0.58564
IMDB,25000,word2vec.google.300d,RNN,256,2,0.5,1,1,test,0,31.876739978790283,12.265997095692919,0.6895327254024612,0.05758521726232262,0.5991701569743938,0.50988,0.3675109421536151,0.50988
IMDB,25000,word2vec.google.300d,RNN,256,2,0.5,1,1,train,1,91.8152871131897,4.258550098721316,0.6926727139431498,0.0261495348530794,0.5264400015229441,0.52644,0.5264399931807358,0.52644
IMDB,25000,word2vec.google.300d,RNN,256,2,0.5,1,1,test,1,32.39953064918518,12.068076054362018,0.6936134144168375,0.011188375469470156,0.5034017517456685,0.50256,0.4697583849448248,0.50256
IMDB,25000,word2vec.google.300d,RNN,256,2,0.5,1,1,train,2,91.77163338661194,4.260575796366297,0.6899376174677974,0.02736304672029598,0.5299002125436795,0.52988,0.5298005362906331,0.52988
IMDB,25000,word2vec.google.300d,RNN,256,2,0.5,1,1,test,2,32.61028742790222,11.990081377370814,0.5757580298901824,0.1697659477641759,0.7416525601527695,0.71152,0.7022377275718767,0.71152
IMDB,25000,word2vec.google.300d,RNN,256,2,0.5,1,1,train,3,91.69009017944336,4.264364875580208,0.5074584435319047,0.07778558692000967,0.7580449957511178,0.75804,0.7580388289079321,0.75804
IMDB,25000,word2vec.google.300d,RNN,256,2,0.5,1,1,test,3,32.70169639587402,11.956566266982177,0.45266265176293796,0.0937325484140461,0.7888587673029603,0.78864,0.7885999740264422,0.78864
IMDB,25000,word2vec.google.300d,RNN,256,2,0.5,1,1,train,4,92.42631578445435,4.230396902456262,0.47801799130866596,0.07523051869035506,0.7791115981123777,0.77908,0.7790737472568243,0.77908
IMDB,25000,word2vec.google.300d,RNN,256,2,0.5,1,1,test,4,32.71250867843628,11.952614329996123,0.43851372420482926,0.1014458237345498,0.8015527869123126,0.7998,0.799508659135688,0.7998
IMDB,25000,word2vec.google.300d,RNN,256,2,0.5,1,1,train,5,91.98191976547241,4.250835392400356,0.43215084617095223,0.06673015977722613,0.8086405110332008,0.80852,0.808501306969979,0.80852
IMDB,25000,word2vec.google.300d,RNN,256,2,0.5,1,1,test,5,32.85251808166504,11.901675208824152,0.4256564663422992,0.10050011580764436,0.8050788809449383,0.80396,0.8037800902030572,0.80396
IMDB,25000,word2vec.google.300d,RNN,256,2,0.5,1,1,train,6,93.49366617202759,4.182101483543956,0.4242264881463307,0.06621660572586444,0.8134463835879194,0.81332,0.8133011804602723,0.81332
IMDB,25000,word2vec.google.300d,RNN,256,2,0.5,1,1,test,6,32.580382108688354,12.0010869944871,0.4198613548294053,0.10314318016126212,0.8088906407540447,0.80788,0.8077227248800429,0.80788
IMDB,25000,word2vec.google.300d,RNN,256,2,0.5,1,1,train,7,92.88986659049988,4.209285838720202,0.4168497742441914,0.0649508707820672,0.8157652976910217,0.81564,0.8156217093785652,0.81564
IMDB,25000,word2vec.google.300d,RNN,256,2,0.5,1,1,test,7,32.481128454208374,12.037759111455397,0.4144285987405216,0.09530839470727691,0.811049205065755,0.81104,0.8110386019879928,0.81104
IMDB,25000,word2vec.google.300d,RNN,256,2,0.5,1,1,train,8,91.80888175964355,4.258847210704966,0.41247349386782295,0.06605531278801702,0.8187270343601226,0.81848,0.818444820706507,0.81848
IMDB,25000,word2vec.google.300d,RNN,256,2,0.5,1,1,test,8,32.69505310058594,11.958995717091916,0.413338037364928,0.1095145526701424,0.8134361419942425,0.8122,0.8120146539682266,0.8122
IMDB,25000,word2vec.google.300d,RNN,256,2,0.5,1,1,train,9,92.37320470809937,4.232829219637508,0.4088159309095129,0.07412361776766925,0.8204651189117037,0.82032,0.8202996561959581,0.82032
IMDB,25000,word2vec.google.300d,RNN,256,2,0.5,1,1,test,9,32.72642660140991,11.947531111849377,0.4050527427278821,0.09292516518918244,0.8182808397931536,0.81808,0.8180512969370766,0.81808
IMDB,25000,fasttext.simple.300d,RNN,256,2,0.5,1,1,train,0,96.48302459716797,4.052526355102231,0.6783889933772709,0.050583122288433945,0.5610127925766246,0.561,0.5609769874673383,0.561
IMDB,25000,fasttext.simple.300d,RNN,256,2,0.5,1,1,test,0,37.81792640686035,10.33901213391411,0.6933157811384372,0.008560941625489094,0.4974399787661599,0.49744,0.49743895788942305,0.49744
IMDB,25000,fasttext.simple.300d,RNN,256,2,0.5,1,1,train,1,93.17439460754395,4.19643188074272,0.6991187817300372,0.01659885576442668,0.506000710330485,0.506,0.5059853803289514,0.506
IMDB,25000,fasttext.simple.300d,RNN,256,2,0.5,1,1,test,1,38.119500398635864,10.257217327381138,0.6694342617488578,0.017549049614157552,0.5892799239593198,0.5892,0.5891080417223103,0.5892
IMDB,25000,fasttext.simple.300d,RNN,256,2,0.5,1,1,train,2,94.14696884155273,4.153081132734548,0.6981470779994564,0.013817702769881748,0.501521420875647,0.50152,0.501403588507599,0.50152
IMDB,25000,fasttext.simple.300d,RNN,256,2,0.5,1,1,test,2,38.09120202064514,10.264837528311157,0.6991031948867661,0.1068719358004857,0.249989999599984,0.49996,0.3333155550814689,0.49996
IMDB,25000,fasttext.simple.300d,RNN,256,2,0.5,1,1,train,3,94.98569846153259,4.116409168253341,0.7010469125664752,0.01662587285802093,0.49951961472024503,0.49952,0.49941963083273194,0.49952
IMDB,25000,fasttext.simple.300d,RNN,256,2,0.5,1,1,test,3,37.96057748794556,10.300159425239585,0.6931823841141312,0.004259284060328179,0.5024400018895374,0.50244,0.5024399036723654,0.50244
IMDB,25000,fasttext.simple.300d,RNN,256,2,0.5,1,1,train,4,96.31661772727966,4.059527932211198,0.6994824801259638,0.01582352606254765,0.49903984659667483,0.49904,0.4990199896560347,0.49904
IMDB,25000,fasttext.simple.300d,RNN,256,2,0.5,1,1,test,4,38.18010091781616,10.240936786459509,0.6939670044137999,0.024660825671721398,0.5023200038010943,0.50232,0.5023197961501885,0.50232
IMDB,25000,fasttext.simple.300d,RNN,256,2,0.5,1,1,train,5,93.39835929870605,4.186369042624253,0.6936913042727029,0.004086197455169067,0.49895723217050536,0.49896,0.49862730030723235,0.49896
IMDB,25000,fasttext.simple.300d,RNN,256,2,0.5,1,1,test,5,38.21657204627991,10.23116357810697,0.693336179189365,0.023507909479433188,0.25,0.5,0.33333333333333326,0.5
IMDB,25000,fasttext.simple.300d,RNN,256,2,0.5,1,1,train,6,93.46037888526917,4.183591000417267,0.693876935850324,0.0054436399203485735,0.5028003613855166,0.5028,0.5027839586171866,0.5028
IMDB,25000,fasttext.simple.300d,RNN,256,2,0.5,1,1,test,6,38.260901927948,10.21930953787555,0.6935522720941802,0.030974241610098964,0.5500100020004002,0.50004,0.33356434729748585,0.50004
IMDB,25000,fasttext.simple.300d,RNN,256,2,0.5,1,1,train,7,95.29132413864136,4.103206703593769,0.693543222706641,0.00505680302373041,0.5042191895220137,0.5042,0.5036356146334459,0.5042
IMDB,25000,fasttext.simple.300d,RNN,256,2,0.5,1,1,test,7,38.02351927757263,10.283109176341368,0.6932913615270648,0.018851840009176717,0.5024000030105639,0.5024,0.5023998439525911,0.5024
IMDB,25000,fasttext.simple.300d,RNN,256,2,0.5,1,1,train,8,94.56444191932678,4.134746550226176,0.6931629479693635,0.006148339084429339,0.5073246514466547,0.50732,0.5072417697033582,0.50732
IMDB,25000,fasttext.simple.300d,RNN,256,2,0.5,1,1,test,8,38.09303402900696,10.264343861459357,0.69385829346869,0.010232338197169134,0.5024000030105639,0.5024,0.5023998439525911,0.5024
IMDB,25000,fasttext.simple.300d,RNN,256,2,0.5,1,1,train,9,94.79983854293823,4.124479598379296,0.6897705778136582,0.009398135981224763,0.5371615974162851,0.53668,0.5351740166180743,0.53668
IMDB,25000,fasttext.simple.300d,RNN,256,2,0.5,1,1,test,9,39.49469494819641,9.900063806363331,0.6709457091663195,0.10476559164296781,0.6563359519561529,0.60004,0.5604719237614564,0.60004
SST,25000,word2vec.google.300d,RNN,256,2,0.5,1,1,train,0,3.485593557357788,10.041331389920092,1.4114677576876398,0.1371817981321994,0.3390818827261934,0.36961610486891383,0.3210525070281591,0.36961610486891383
SST,25000,word2vec.google.300d,RNN,256,2,0.5,1,1,test,0,0.6133036613464355,57.06797823962382,1.3191166434969221,0.11250044654210599,0.38014073178803026,0.40316742081447965,0.326975856573398,0.40316742081447965
SST,25000,word2vec.google.300d,RNN,256,2,0.5,1,1,train,1,3.3827033042907715,10.34675431203335,1.2876263643378643,0.07895205016832466,0.4258739621568762,0.43199906367041196,0.39298686815880196,0.43199906367041196
SST,25000,word2vec.google.300d,RNN,256,2,0.5,1,1,test,1,0.614037036895752,56.999819061308706,1.3008042199271066,0.11624552753750157,0.4286014071761861,0.41312217194570133,0.4045148596946155,0.41312217194570133
SST,25000,word2vec.google.300d,RNN,256,2,0.5,1,1,train,2,3.30804181098938,10.580277396654816,1.2434204434280964,0.08326684560924155,0.4473025663233124,0.4506086142322097,0.4226873971218511,0.4506086142322097
SST,25000,word2vec.google.300d,RNN,256,2,0.5,1,1,test,2,0.6553878784179688,53.40348998288768,1.2701761177607944,0.08947159771025306,0.5098207927047128,0.4294117647058823,0.36637738973541983,0.4294117647058823
SST,25000,word2vec.google.300d,RNN,256,2,0.5,1,1,train,3,3.348257541656494,10.453198287334951,1.2268738977944673,0.09748174440407435,0.4615219540441446,0.46289794007490637,0.44333436663805165,0.46289794007490637
SST,25000,word2vec.google.300d,RNN,256,2,0.5,1,1,test,3,0.6523656845092773,53.6508906447581,1.2739268439156668,0.12606827058154618,0.4974477237974738,0.43755656108597285,0.3877541531810321,0.43755656108597285
SST,25000,word2vec.google.300d,RNN,256,2,0.5,1,1,train,4,3.1369996070861816,11.157157916417443,1.1791704297065735,0.08366272298092792,0.4906343948060462,0.4868913857677903,0.47085547521114557,0.4868913857677903
SST,25000,word2vec.google.300d,RNN,256,2,0.5,1,1,test,4,0.6691532135009766,52.304912079674146,1.306294664314815,0.22989990271786906,0.44055483072392165,0.4294117647058823,0.3995656604067673,0.4294117647058823
SST,25000,word2vec.google.300d,RNN,256,2,0.5,1,1,train,5,3.1988134384155273,10.941557134803272,1.0641596446286385,0.08655169888512866,0.5469294548561248,0.5428370786516854,0.528770421194383,0.5428370786516854
SST,25000,word2vec.google.300d,RNN,256,2,0.5,1,1,test,5,0.6702699661254883,52.21776563004657,1.269275174822126,0.14801951434993393,0.46585608713684723,0.4438914027149321,0.4357049571102324,0.4438914027149321
SST,25000,word2vec.google.300d,RNN,256,2,0.5,1,1,train,6,3.299445629119873,10.607842630016682,1.0131896218257164,0.08530966287469308,0.5776298137776696,0.5730337078651685,0.5664196779639622,0.5730337078651685
SST,25000,word2vec.google.300d,RNN,256,2,0.5,1,1,test,6,0.6395125389099121,54.729184918969096,1.30126040492739,0.1848381603950982,0.4592882329871362,0.4429864253393665,0.43513702481097655,0.4429864253393665
SST,25000,word2vec.google.300d,RNN,256,2,0.5,1,1,train,7,3.3008551597595215,10.603312870762215,0.9763370022844913,0.08960572637799745,0.5855326916482281,0.581811797752809,0.5748094534341522,0.581811797752809
SST,25000,word2vec.google.300d,RNN,256,2,0.5,1,1,test,7,0.6485240459442139,53.96870049597314,1.3020365510668073,0.1389241600123198,0.4449851232190677,0.43529411764705883,0.43142904592221004,0.43529411764705883
SST,25000,word2vec.google.300d,RNN,256,2,0.5,1,1,train,8,3.2575583457946777,10.744243474620495,0.9458297379870912,0.08777791676415848,0.60424533280563,0.6019428838951311,0.596865498539953,0.6019428838951311
SST,25000,word2vec.google.300d,RNN,256,2,0.5,1,1,test,8,0.6201686859130859,56.43625806173823,1.3402678762163436,0.14407327094983952,0.4493002339019132,0.4298642533936652,0.4275191314213349,0.4298642533936652
SST,25000,word2vec.google.300d,RNN,256,2,0.5,1,1,train,9,3.30108380317688,10.60257845205774,0.9182723974114033,0.0805278750886434,0.6175073663845289,0.6132958801498127,0.6077690879872093,0.6132958801498127
SST,25000,word2vec.google.300d,RNN,256,2,0.5,1,1,test,9,0.6417491436004639,54.53844442025478,1.3628996235983712,0.14666978439725512,0.4471221846457807,0.4271493212669683,0.42720154764255475,0.4271493212669683
SST,25000,word2vec.google.300d,LSTM,256,2,0.5,1,1,train,0,4.186044931411743,8.361114267399001,1.4629048794063169,0.1428047773485419,0.31519043859103557,0.34480337078651685,0.3015343351327606,0.34480337078651685
SST,25000,word2vec.google.300d,LSTM,256,2,0.5,1,1,test,0,0.700829267501831,49.94083669587694,1.4062232443264553,0.2837789732790512,0.4221191247579951,0.3773755656108597,0.3319055834931924,0.3773755656108597
SST,25000,word2vec.google.300d,LSTM,256,2,0.5,1,1,train,1,4.118238210678101,8.498779868840314,1.3023874225901133,0.08190445847337736,0.4032790238342048,0.4178370786516854,0.3671482740903898,0.4178370786516854
SST,25000,word2vec.google.300d,LSTM,256,2,0.5,1,1,test,1,0.7128417491912842,49.09925665788703,1.3024931294577462,0.09104097290038002,0.41762305022697743,0.4171945701357466,0.34532254492487896,0.4171945701357466
SST,25000,word2vec.google.300d,LSTM,256,2,0.5,1,1,train,2,4.224536418914795,8.284932719077103,1.2512851633242708,0.09525449591721592,0.44288754932547697,0.44838483146067415,0.40743625613295786,0.44838483146067415
SST,25000,word2vec.google.300d,LSTM,256,2,0.5,1,1,test,2,0.7810783386230469,44.80984591340871,1.2781802211488997,0.18213309517237014,0.4194106773757255,0.42217194570135747,0.3859486457648015,0.42217194570135747
SST,25000,word2vec.google.300d,LSTM,256,2,0.5,1,1,train,3,4.127309083938599,8.480101511224907,1.2123820843981272,0.08393015504349229,0.4637417284853099,0.4674625468164794,0.43328501153262683,0.4674625468164794
SST,25000,word2vec.google.300d,LSTM,256,2,0.5,1,1,test,3,0.7661159038543701,45.68499338535217,1.2440644025802612,0.1239693063616231,0.4258023711173699,0.4262443438914027,0.40085571562724764,0.4262443438914027
SST,25000,word2vec.google.300d,LSTM,256,2,0.5,1,1,train,4,4.1929771900177,8.3472908184011,1.1712328533628094,0.07762135646006171,0.48315803200032476,0.48642322097378277,0.46045467002366314,0.48642322097378277
SST,25000,word2vec.google.300d,LSTM,256,2,0.5,1,1,test,4,0.7269527912139893,48.146180086262625,1.2532057285308837,0.13781760299447238,0.4507745409861334,0.43574660633484164,0.41189842787994563,0.43574660633484164
SST,25000,word2vec.google.300d,LSTM,256,2,0.5,1,1,train,5,4.234553575515747,8.265334084416958,1.104042190669188,0.08487811662994012,0.521638995755905,0.5201310861423221,0.5017373599922433,0.5201310861423221
SST,25000,word2vec.google.300d,LSTM,256,2,0.5,1,1,test,5,0.7729358673095703,45.281893984073676,1.2476222378867012,0.12534200125345502,0.45147158328538434,0.4438914027149321,0.4325621363630951,0.4438914027149321
SST,25000,word2vec.google.300d,LSTM,256,2,0.5,1,1,train,6,4.232136249542236,8.27005510604384,1.083718812732554,0.08862786368557561,0.5299175219847033,0.5291432584269663,0.5170729470300556,0.5291432584269663
SST,25000,word2vec.google.300d,LSTM,256,2,0.5,1,1,test,6,0.7468805313110352,46.861577632185465,1.2653133017676217,0.14428028072542298,0.4526782562463279,0.4407239819004525,0.4280541352142747,0.4407239819004525
SST,25000,word2vec.google.300d,LSTM,256,2,0.5,1,1,train,7,4.024785041809082,8.696116596643883,1.0723861028899009,0.09000794565040575,0.5327113368278688,0.5328885767790262,0.5207245169715253,0.5328885767790262
